step,time,agent,omega,rho,psi_tilde,phi
64,3.2,5,0.0020730392895467594,1.0,0.9989352524847833,0.016966557323803144
65,3.25,0,0.008903865574141918,1.0,0.9989346405614069,0.04297275931666533
65,3.25,1,0.0,1.0,0.9989346405614069,0.0
65,3.25,2,0.01619730010187696,1.0,0.9989346405614068,0.06495079714947387
65,3.25,3,0.051512448758383046,1.0,0.9989346405614068,0.1313317521271326
65,3.25,4,0.0,1.0,0.9989346405614068,0.0
65,3.25,5,0.00483850697911398,1.0,0.9989346405614068,0.029727716185218966
66,3.3000000000000003,0,0.013550231938816238,1.0,0.9989341676309894,0.0553675292208851
66,3.3000000000000003,1,0.0,1.0,0.9989341676309894,0.0
66,3.3000000000000003,2,0.022471878231338886,1.0,0.9989341676309894,0.07894308139649624
66,3.3000000000000003,3,0.0608650211662574,1.0,0.9989341676309894,0.14503817283712656
66,3.3000000000000003,4,0.0,1.0,0.9989341676309893,0.0
66,3.3000000000000003,5,0.008600289230796351,1.0,0.9989341676309893,0.042456329495937695
67,3.35,0,0.01896487081188869,1.0,0.998933897421424,0.06769662066954077
67,3.35,1,0.0,1.0,0.998933897421424,0.0
67,3.35,2,0.029506221094743164,1.0,0.998933897421424,0.09281530686538168
67,3.35,3,0.07063134049076744,1.0,0.998933897421424,0.15852821441135773
67,3.35,4,0.0,1.0,0.998933897421424,0.0
67,3.35,5,0.013254627884604374,1.0,0.998933897421424,0.05514367576887658
68,3.4000000000000004,0,0.025063572071374843,1.0,0.9989338853587385,0.07995188340675022
68,3.4000000000000004,1,0.0,1.0,0.9989338853587385,0.0
68,3.4000000000000004,2,0.03721125586674077,1.0,0.9989338853587385,0.1065565688147192
68,3.4000000000000004,3,0.08074745595073389,1.0,0.9989338853587385,0.17179249509043187
68,3.4000000000000004,4,0.0,1.0,0.9989338853587385,0.0
68,3.4000000000000004,5,0.01870732755623175,1.0,0.9989338853587384,0.06778162460087814
69,3.45,0,0.03176979214201908,1.0,0.9989341792875095,0.09212577277781726
69,3.45,1,0.0,1.0,0.9989341792875095,0.0
69,3.45,2,0.04550577742863065,1.0,0.9989341792875095,0.12015647148563957
69,3.45,3,0.09115498456875169,1.0,0.9989341792875095,0.18482274213091188
69,3.45,4,0.0,1.0,0.9989341792875095,0.0
69,3.45,5,0.024872851122068523,1.0,0.9989341792875095,0.08036256321459945
70,3.5,0,0.03901394406585554,1.0,0.9989348201015011,0.10421131138038361
70,3.5,1,0.0,1.0,0.9989348201015011,0.0
70,3.5,2,0.05431571071261621,1.0,0.9989348201015011,0.13360511026848626
70,3.5,3,0.10180066804496656,1.0,0.9989348201015011,0.19761181933090022
70,3.5,4,0.0,1.0,0.9989348201015011,0.0
70,3.5,5,0.03167349951523735,1.0,0.9989348201015011,0.09287933505375676
71,3.5500000000000003,0,0.046732755354068484,1.0,0.9989358423071137,0.116202056947985
71,3.5500000000000003,1,0.0,1.0,0.9989358423071137,0.0
71,3.5500000000000003,2,0.06357344551349453,1.0,0.9989358423071139,0.14689305872139932
71,3.5500000000000003,3,0.11379298270001699,1.0,0.9989358423071137,0.22172381459547089
71,3.5500000000000003,4,0.0,1.0,0.9989358423071139,0.0
71,3.5500000000000003,5,0.039038668413692454,1.0,0.9989358423071139,0.10532518849978842
72,3.6,0,0.05486868730610009,1.0,0.9989372737607946,0.12809207487438456
72,3.6,1,0.0,1.0,0.9989372737607946,0.0
